,논문제목,초록
10,Q.Li_et_al_2021_Applied_Acoustics_Simulation of deterministic tyre noise based on a monopole substitution model,"This paper deals with tyre noise indoor tests in a semi-anechoic chamber and with the identification of amonopole substitution model suitable for simulating the deterministic part of the sound field generatedby a rolling tyre. The first part of the paper illustrates the test procedure and the data processing method-ology adopted for separating the deterministic contribution to tyre noise, i.e. that mainly related to treadpattern, from the random one. In the second part, the monopole substitution model is presented, togetherwith the results of model identification and sound field simulation.The results reported in the paper for two commercial tyres (with the same size and similar structuralcharacteristics, but with different tread pattern design) show how the predominance of the determinis-tic/random noise contributions varies with frequency and confirm the random noise spectrum to be sub-stantially independent of the specific tread pattern. With reference to the monopole substitution model,its capability of reproducing the acoustic field radiated by a rolling tyre is assessed through the analysis ofboth sound spectra and space distribution.� 2021 Elsevier Ltd. All rights reserved."
11,S.Baro_et_al_2019_Modelling of a lined tyre for predicting cavity noise mitigation,"Tyre cavity resonance can significantly affect vehicle interior noise at frequencies around 200 Hz. Theinsertion of a sound absorbing liner inside the tyre is known to be an efficient countermeasure, in factnowadays tyre manufacturers are already producing tyres implementing this kind of solution. The pre-sent work, through analytical and numerical models, supported by material testing, provides a method-ology for predicting the dag performance of a lined tyre, taking into account tyre/lining geometry andsound absorbing material properties. The results reported in the paper show that for fixed material char-acteristics, the attenuation of the cavity resonance is mostly influenced by the volume of the lining treat-ment. Moreover, the numerical model developed for discontinuous treatments, suggests that for fixedvolume and material properties, the cavity resonance attenuation can be increased by choosing a properlayout.� 2019 Elsevier Ltd. All rights reserved."
12,S.Delvecchio_et_al_2018_Mech_Sys_and_Signal_Process_Vibro-acoustic condition monitoring of Internal Combustion Engines,"This paper deals with the state-of-the-art strategies and techniques based on vibro-acoustic signals that can monitor and diagnose malfunctions in Internal CombustionEngines (ICEs) under both test bench and vehicle operating conditions. Over recent years,several authors have summarized what is known in critical reviews mainly focused onreciprocating machines in general or on specific signal processing techniques: no attemptsto deal with IC engine condition monitoring have been made. This paper first gives a briefsummary of the generation of sound and vibration in ICEs in order to place further discus-sion on fault vibro-acoustic diagnosis in context. An overview of the monitoring and diag-nostic techniques described in literature using both vibration and acoustic signals is alsoprovided. Different faulty conditions are described which affect combustion, mechanicsand the aerodynamics of ICEs. The importance of measuring acoustic signals, as opposedto vibration signals, is due since the former seem to be more suitable for implementationon on-board monitoring systems in view of their non-intrusive behaviour, capability insimultaneously capturing signatures from several mechanical components and becauseof the possibility of detecting faults affecting airborne transmission paths.In view of the recent needs of the industry to (�) optimize component structural dura-bility adopting long-life cycles, (�) verify the engine final status at the end of the assemblyline and (�) reduce the maintenance costs monitoring the ICE life during vehicle opera-tions, monitoring and diagnosing system requests are continuously growing up. The pre-sent review can be considered a useful guideline for test engineers in understandingwhich types of fault can be diagnosed by using vibro-acoustic signals in sufficient timein both test bench and operating conditions and which transducer and signal processingtechnique (of which the essential background theory is here reported) could be consideredthe most reliable and informative to be implemented for the fault in question.� 2017 Elsevier Ltd. All rights reserved.Contents"
13,Semantic_Mapping_of_Component_Framework_Interface_," Over the past few years, ontology merging, and ontology semantic alignment has gained significant interest as research topics in automotive application domain for finding solutions to semantic data heterogeneity. To accomplish the complex and novel vehicle service requirements such as autonomous driving, V2X (Vehicle-to-Vehicle communication), etc. the automotive applications involve collaborations of several platform-specific data from heterogeneous enterprises component frameworks and consequently there has been increase in data interoperability issues. At the application component level, data interoperability relies on the semantic alignment or mapping between the various component framework interfaces data models represented as XML schemas (XSD). With the XML schemas being the preferred standard for the interface description exchange between most of the automotive application domain components, however, the data interoperability between the semantically equivalent but structurally different data constructs of  multiple heterogeneous XSDs stands as a challenge in the absence of an ontology-based approach. To confront this crucial requirement for data interoperability and to increase in effect the reuse of existing components through their interfaces, we propose an approach to semantically map the various component framework interface data models when expressed as ontology schemas, based on the exploration of semantic synergies. The transformation between XSD and RDF (Resource Description Framework) schema representations and the use of queries over the ontology schemas for semantic mapping are demonstrated including a real-world case study.  © 2020 The Authors. Published by Elsevier B.V.  This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/) Peer-review under responsibility of the Conference Program Chairs. Keywords: ontology, xml, xsd, rdf, model, mapping, semantic, component, interface; * Corresponding author. Tel.: +49-177-4454759;  E-mail address: sangita.de@continental-corporation.com  Available online at www.sciencedirect.com ScienceDirect Procedia Computer Science 00 (2020) 000–000  www.elsevier.com/locate/procedia  1877-0509 © 2020 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/) Peer-review under responsibility of the Conference Program Chairs.  International Workshop on the Advancements in Model Driven Engineering (AMDE)  April 6-9, 2020, Warsaw, Poland Semantic Mapping of Component Framework Interface Ontologies for Interoperability of Vehicle Applications Sangita De*,  Michael Niklasa, Rooney Briana, Juergen Mottokb, Premek Bradac *aContinental AG,Regensburg,93055,Germany bDept. of Electrical Engineering and Information Technology,OTH,Regensburg,93053,Germany                                                                                                                                                   cDept. of Computer Science and Engineering,University of West Bohemia,Pilsen,30100,Czech Republic Abstract Over the past few years, ontology merging, and ontology semantic alignment has gained significant interest as research topics in automotive application domain for finding solutions to semantic data heterogeneity. To accomplish the complex and novel vehicle service requirements such as autonomous driving, V2X (Vehicle-to-Vehicle communication), etc. the automotive applications involve collaborations of several platform-specific data from heterogeneous enterprises component frameworks and consequently there has been increase in data interoperability issues. At the application component level, data interoperability relies on the semantic alignment or mapping between the various component framework interfaces data models represented as XML schemas (XSD). With the XML schemas being the preferred standard for the interface description exchange between most of the automotive application domain components, however, the data interoperability between the semantically equivalent but structurally different data constructs of  multiple heterogeneous XSDs stands as a challenge in the absence of an ontology-based approach. To confront this crucial requirement for data interoperability and to increase in effect the reuse of existing components through their interfaces, we propose an approach to semantically map the various component framework interface data models when expressed as ontology schemas, based on the exploration of semantic synergies. The transformation between XSD and RDF (Resource Description Framework) schema representations and the use of queries over the ontology schemas for semantic mapping are demonstrated including a real-world case study.  © 2020 The Authors. Published by Elsevier B.V.  This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/) Peer-review under responsibility of the Conference Program Chairs. Keywords: ontology, xml, xsd, rdf, model, mapping, semantic, component, interface; * Corresponding author. Tel.: +49-177-4454759;  E-mail address: sangita.de@continental-corporation.com http://crossmark.crossref.org/dialog/?doi=10.1016/j.procs.2020.03.151&domain=pdfhttp://creativecommons.org/licenses/by-nc-nd/4.0/814 Sangita De  et al. / Procedia Computer Science 170 (2020) 813–8182 Author name / Procedia Computer Science 00 (2018) 000–000 "
14,T.Gambino_et_al_2020_Polymer_Modeling the high frequency mechanical relaxation of simplified industrial polymer mixtures,"   The mechanical characterization of rubber materials at the frequencies relevant for the tire function during braking (about 1 MHz) is extremely challenging. On the other hand, dielectric relaxation experiments provide a suitable tool for the analysis of relaxation phenomena over a broad frequency range with high sensitivity. Here we show that by analyzing dielectric relaxation experiments in the framework of a simple model the mechanical relaxation of simplified industrial systems based on mixtures of a styrene butadiene rubber (SBR) with a poly-styrene oligomer can be anticipated, at least for the SBR rich mixtures that are more relevant for development of tire polymers. The model needs the description of the dielectric and mechanical relaxation processes of the single components of the mixture and uses concepts and ideas introduced in the past for describing the segmental dynamics of athermal polymer blends. The model description of dielectric relaxation experiments on the mix-tures provides a quantification of the thermal fluctuations of concentration in the blends. With this input, the mechanical relaxation of the mixtures are calculated using well established equations for the mechanical properties of composite materials. The present approach should be helpful in a rational design of the rubber material depending on the specific requirements.   "
15,T.Ido_et_al_2019_Tribology_Int_Sliding friction characteristics of styrene butadiene rubbers,"We investigated the effect of the surface topography of rubbers on their wet sliding friction characteristics. Forsix types of rubber samples with different viscoelastic properties, rubber specimens with five levels of surfaceroughness were prepared and slid against a rough rigid surface under water lubrication. The friction coefficientincreased with increasing surface roughness for each of the rubber samples, and the rank of the friction coef-ficient of different samples varied depending on the surface roughness. These results indicate that the effect ofhysteresis friction becomes more significant as the surface roughness of the rubber increases, and the effect of theinhibition of adhesion friction caused by lubrication becomes more significant as the surface roughness de-creases. Our findings demonstrate the importance of rubber surface topography in determining the frictioncoefficient under water lubrication. The results of this study may lead to new design criteria for high-wet-griprubber tires."
16,Toward harmonizing prospective effectiveness assessment for road safety Comparing tools in standard test case simulations,"Objective: With the overall goal to harmonize prospective effectiveness assessment of activesafety systems, the specific objective of this study is to identify and evaluate sources of variationin virtual precrash simulations and to suggest topics for harmonization resulting in increasedcomparability and thus trustworthiness of virtual simulation-based prospective effective-ness assessment.Methods: A round-robin assessment of the effectiveness of advanced driver assistance systemswas performed using an array of state-of-the-art virtual simulation tools on a set of standard testcases. The results were analyzed to examine reasons for deviations in order to identify and assessaspects that need to be harmonized and standardized. Deviations between results calculated byindependent engineering teams using their own tools should be minimized if the research ques-tion is precisely formulated regarding input data, models, and postprocessing steps.Results: Two groups of sources of variations were identified; one group (mostly related to theimplementation of the system under test) can be eliminated by using a more accurately formu-lated research question, whereas the other group highlights further harmonization needs becauseit addresses specific differences in simulation tool setups. Time-to-collision calculations, vehicledynamics, especially braking behavior, and hit-point position specification were found to be themain sources of variation.Conclusions: The study identified variations that can arise from the use of different simulation set-ups in assessment of the effectiveness of active safety systems. The research presented is a first ofits kind and provides significant input to the overall goal of harmonization by identifying specificitems for standardization. Future activities aim at further specification of methods for prospectiveassessments of the effectiveness of active safety, which will enhance comparability and trust-worthiness in this kind of studies and thus contribute to increased traffic safety."
17,V.H.Nguyen_et_al_2018_Wear_An_Adv_abrasion_model_for_tire_wear,"The abrasion processes of rubber or tires are extremely complex phenomena and basically different from those ofother materials. Much research in tire industry has been done to predict the wear of a tire tread. However, suchstudies have not considered the history dependency of abrasion as well as directional effects. This paper is topropose an advanced abrasion model for rubber that will takes these two effects into account. As a result the newmodel can be applied to predict tire tread wear. Within this model, directional damage will be introduced tocharacterize the history of frictional sliding contact including the change of slip directions. It also covers localcontact conditions such as contact pressure, slip velocity or flash temperature. The model will be analyzedtheoretically and numerically. A FEM simulation for the Grosch-wheel with different loading conditions usingthe new abrasion model is performed and validated by experimental data."
18,V.Mussot_et_al_2022_Control_Eng_Pract_Model learning of the tire–road friction slip dependency under standard driving conditions,"The maximum tire–road friction coefficient is a quantity allowing to increase significantly the performanceof the driver-assistance systems. Unfortunately, this value is particularly difficult to estimate under standarddriving conditions. Therefore, this paper focuses on a parametric method based on Monte-Carlo Markov Chaintechniques to determine it accurately. Our solution combines the advantages of both a maximum likelihoodmethod and an adaptive Metropolis algorithm to determine the tire–road friction coefficient. This approachrequires friction measurements and a tire model representing the friction as a function of the slip ratio. Afterdescribing the theoretical aspects of the method, this paper focuses on its practical implementation. Severalresults obtained from both simulated data and real data are given to demonstrate the efficiency of the approach."
19,V.Sulzer_et_al_2021_Joule_The challenge and opportunity of battery lifetime prediction from field data,"Accurate battery life prediction is a critical part of the business casefor electric vehicles, stationary energy storage, and nascent applica-tions such as electric aircraft. Existing methods are based on rela-tively small but well-designed lab datasets and controlled test con-ditions but incorporating field data is crucial to build a completepicture of how cells age in real-world situations. This comes withadditional challenges because end-use applications have uncon-trolled operating conditions, less accurate sensors, data collectionand storage concerns, and infrequent access to validation checks.We explore a range of techniques for estimating lifetime from laband field data and suggest that combining machine learning ap-proaches with physical models is a promising method, enablinginference of battery life from noisy data, assessment of second-lifecondition, and extrapolation to future usage conditions. This workhighlights the opportunity for insights gained from field data toreduce battery costs and improve designs."
20,Wang_2020_J_of_Wind_Eng_and_Ind_Aerodyn_Experimental study of wheel-vehicle aerodynamic interactions,"This work aims to provide a better understanding of the wheel-vehicle aerodynamic interaction, via experimentalinvestigations on a 2/5-th scale vehicle equipped with 2/5-th scale rotating wheels. The findings demonstrate thatthe baseline configuration has a well-balanced wake, which means that the distribution of TKE in the symmetricalplane of the vehicle wake is symmetric in the upper and lower shear layers.This well-balanced wake can be easily modified by different wheel states or tire modifications, especially at therear axle. This results from a global effect of the underbody momentum modifications. On the contrary, when thevehicle mean wake develops into a non-balanced topology, it is more robust towards underbody perturbations. Byeliminating front wheels, the underbody flow momentum is vastly increased; by eliminating the underbodydiffuser, the underbody flow momentum is significantly reduced. In these two circumstances, one can observe arobust downwash from the roof, independent of the wheel states or tire modifications. Besides, there is a morelocal effect of the wheels’ near wakes on the aerodynamic lift and drag of the vehicle. Low pressure regions in theunderbody downstream the wheels have an effect on vehicle lift. The rear wheel wakes interact with vehiclewake, imposing pressure conditions on the vehicle base, therefore influencing the vehicle drag."
21,Y.Hoshikawa_et_al_2021_Carbon_Quantitative analysis of the formation mechanism of tightly bound rubber,"Using carbon-coated alumina nanoparticles as a model filler for styrene-butadiene rubber (SBR), rubbercomposites with different carbon surface chemistry were prepared and the bound rubber thus formed ineach composite was analyzed in relation to the carbon surface chemistry. The present approach providesquantitative understanding of the rubber-carbon interface at the molecular level and thereby the for-mation mechanism of tightly bound rubber during a mixing process with SBR is proposed as follows. Atfirst, the strong physisorption of SBR occurs and almost all the filler surface (99.8% of the total surface) iscovered with a single-molecule layer of physisorbed SBR. The polymer radicals formed in the process arethen gradually allowed to react with the H-terminated edge sites on the exposed carbon surface (0.2% ofthe total surface) and the resulting free edge sites are chemically-bonded to the other polymer radicals toform the chemisorbed polymer. Moreover, the unique structure of the present composites makes itpossible to analyze the state of tightly bound rubber with the conventional differential scanning calo-rimetry, which strongly suggests that the tightly bound rubber is indeed in a glassy state.© 2020 Elsevier Ltd. All rights reserved."
